Order,Ref,Ref_name,DS_SS,Response,Comparison,Control,Type,Tx_mean,Tx_n,Tx_sd,Cx_mean,Cx_n,Cx_sd,SD_pool,Diff_in_means,ES,Hedges_d,Var_d,SE_d,CI_lo_d,CI_up_d,Tx_percent_dead,Tx_n_total,Tx_n_dead,Cx_percent_dead,Cx_n_total,Cx_n_dead,Tx_percent_dead_adj,Tx_n_total_adj,Tx_n_dead_adj,Cx_percent_dead_adj,Cx_n_total_adj,Cx_n_dead_adj,Tx_prob_mort,Cx_prob_mort,logRR,logRR_var,Observed_O,Expected_O_hat,O_hat_var_diff,logOR,logOR_var,Binary_sed_burial,Binary_regression_design,Binary_binary_data_only,Binary_repeated_measures,Binary_control_in_study,Ocean,Region,Updated_Genus,Updated_species,Coral_age_class,Treatment,Exp_details,Other_conditions,Sed_level_standardized,Sed_exposure,Sed_exposure_UoM,Sed_exposure_days,Sed_exposure_mg_cm2,Sed_exposure_mg_d_L,Sed_duration_class,Sed_source,Sed_mineralogy,Sed_grain_class,Sed_grain_micron,Sed_grain_category,Sed_application,Surface_direction,Surface_direction_deg,Coral_age_at_start_expt_days,Coral_age_at_end_expt_days,Coral_days_old_baseline,Additional_notes,
1,DS03,Bessell-Browne et al. 2017a,DS,fv_fm,AA,1,,0.72,12,0.305,0.72,12,0.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,Pacific,Great Barrier Reef,Acropora,millepora,adult,Control (no sediment),Not bleached,,0.05,7,d,7,0.35,,long,marine,carbonate,2b - fine sand,0.5-140micron,2 - fine,,,,,,,,
2,DS03,Bessell-Browne et al. 2017a,DS,fv_fm,AA,0,,0.72,12,0.305,0.72,12,0.305,0.3,0,0,0,0.167,0.408,-0.8,0.8,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,Pacific,Great Barrier Reef,Acropora,millepora,adult,Sediment 11 mg/cm2/d,Not bleached,,10.8,7,d,7,75.6,,long,marine,carbonate,2b - fine sand,0.5-140micron,2 - fine,,,,,,,,
3,DS03,Bessell-Browne et al. 2017a,DS,fv_fm,AA,0,,0.72,12,0.305,0.72,12,0.305,0.3,0,0,0,0.167,0.408,-0.8,0.8,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,Pacific,Great Barrier Reef,Acropora,millepora,adult,Sediment 22 mg/cm2/d,Not bleached,,22.4,7,d,7,156.8,,long,marine,carbonate,2b - fine sand,0.5-140micron,2 - fine,,,,,,,,
4,DS03,Bessell-Browne et al. 2017a,DS,fv_fm,AA,0,,0.72,12,0.457,0.72,12,0.305,0.39,0,0,0,0.167,0.408,-0.8,0.8,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,Pacific,Great Barrier Reef,Acropora,millepora,adult,Sediment 40 mg/cm2/d,Not bleached,,39.6,7,d,7,277.2,,long,marine,carbonate,2b - fine sand,0.5-140micron,2 - fine,,,,,,,,
5,DS03,Bessell-Browne et al. 2017a,DS,fv_fm,AB,1,,0.66,12,0.381,0.66,12,0.381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,Pacific,Great Barrier Reef,Porites,lobata/lutea,adult,Control (no sediment),Not bleached,,0.05,7,d,7,0.35,,long,marine,carbonate,2b - fine sand,0.5-140micron,2 - fine,,,,,,,,
6,DS03,Bessell-Browne et al. 2017a,DS,fv_fm,AB,0,,0.67,12,0.381,0.66,12,0.381,0.38,0.01,0.026,0.025,0.167,0.408,-0.77,0.83,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,Pacific,Great Barrier Reef,Porites,lobata/lutea,adult,Sediment 11 mg/cm2/d,Not bleached,,10.8,7,d,7,75.6,,long,marine,carbonate,2b - fine sand,0.5-140micron,2 - fine,,,,,,,,
7,DS03,Bessell-Browne et al. 2017a,DS,fv_fm,AB,0,,0.67,12,0.457,0.66,12,0.381,0.42,0.01,0.024,0.023,0.167,0.408,-0.78,0.82,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,Pacific,Great Barrier Reef,Porites,lobata/lutea,adult,Sediment 22 mg/cm2/d,Not bleached,,22.4,7,d,7,156.8,,long,marine,carbonate,2b - fine sand,0.5-140micron,2 - fine,,,,,,,,
8,DS03,Bessell-Browne et al. 2017a,DS,fv_fm,AB,0,,0.67,12,0.61,0.66,12,0.381,0.51,0.01,0.02,0.019,0.167,0.408,-0.78,0.82,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,Pacific,Great Barrier Reef,Porites,lobata/lutea,adult,Sediment 40 mg/cm2/d,Not bleached,,39.6,7,d,7,277.2,,long,marine,carbonate,2b - fine sand,0.5-140micron,2 - fine,,,,,,,,
9,DS03,Bessell-Browne et al. 2017a,DS,fv_fm,AC,1,,0.65,12,0.305,0.65,12,0.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,Pacific,Great Barrier Reef,Turbinaria,reniformis,adult,Control (no sediment),Not bleached,,0.05,7,d,7,0.35,,long,marine,carbonate,2b - fine sand,0.5-140micron,2 - fine,,,,,,,,
10,DS03,Bessell-Browne et al. 2017a,DS,fv_fm,AC,0,,0.65,12,0.381,0.65,12,0.305,0.35,0,0,0,0.167,0.408,-0.8,0.8,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,Pacific,Great Barrier Reef,Turbinaria,reniformis,adult,Sediment 11 mg/cm2/d,Not bleached,,10.8,7,d,7,75.6,,long,marine,carbonate,2b - fine sand,0.5-140micron,2 - fine,,,,,,,,
